"Bar_ID","DCIp","DCId"
"t",64.7363837934945,79.0009024794023
"u",64.5839337996398,78.9031516038858
"v",64.6624255291154,78.9529862855548
"w",64.50824248494,78.8551577142698
"x",69.2796515879694,81.8805838508318
"y",65.1937487312776,79.2898193560749
"z",65.8920843278128,79.7326157544193
"ag",64.50824248494,78.8551577142698
"ah",66.4647200039527,80.1020033225523
"ai",64.5119598663428,78.8561635326102
"aj",65.3070196235536,79.3264694201209
"ak",65.4393884695486,79.445573111055
"al",80.074416575125,88.8702138995067
"am",68.6893107778078,82.0274447466437
"an",64.5894081676184,78.9066281725842
"ao",65.8197357703873,79.6982608133914
