"start","end","path2","barrier.id","pathway.pass","start.section.length","finish.section.length"
"84_s","84_s","84_s","NA",1,1,1
"84_s","94_s","84_s,sink,94_s","84,94",0,1,2
"84_s","100_s","84_s,sink,100_s","84,100",0,1,4
"84_s","98_s","84_s,98_s","98",0,1,1
"84_s","99_s","84_s,98_s,99_s","98,99",0,1,8
"84_s","sink","84_s,sink","84",0,1,12
"94_s","84_s","94_s,sink,84_s","94,84",0,2,1
"94_s","94_s","94_s","NA",1,2,2
"94_s","100_s","94_s,sink,100_s","94,100",0,2,4
"94_s","98_s","94_s,sink,84_s,98_s","94,84,98",0,2,1
"94_s","99_s","94_s,sink,84_s,98_s,99_s","94,84,98,99",0,2,8
"94_s","sink","94_s,sink","94",0,2,12
"100_s","84_s","100_s,sink,84_s","100,84",0,4,1
"100_s","94_s","100_s,sink,94_s","100,94",0,4,2
"100_s","100_s","100_s","NA",1,4,4
"100_s","98_s","100_s,sink,84_s,98_s","100,84,98",0,4,1
"100_s","99_s","100_s,sink,84_s,98_s,99_s","100,84,98,99",0,4,8
"100_s","sink","100_s,sink","100",0,4,12
"98_s","84_s","98_s,84_s","98",0,1,1
"98_s","94_s","98_s,84_s,sink,94_s","98,84,94",0,1,2
"98_s","100_s","98_s,84_s,sink,100_s","98,84,100",0,1,4
"98_s","98_s","98_s","NA",1,1,1
"98_s","99_s","98_s,99_s","99",0,1,8
"98_s","sink","98_s,84_s,sink","98,84",0,1,12
"99_s","84_s","99_s,98_s,84_s","99,98",0,8,1
"99_s","94_s","99_s,98_s,84_s,sink,94_s","99,98,84,94",0,8,2
"99_s","100_s","99_s,98_s,84_s,sink,100_s","99,98,84,100",0,8,4
"99_s","98_s","99_s,98_s","99",0,8,1
"99_s","99_s","99_s","NA",1,8,8
"99_s","sink","99_s,98_s,84_s,sink","99,98,84",0,8,12
"sink","84_s","sink,84_s","84",0,12,1
"sink","94_s","sink,94_s","94",0,12,2
"sink","100_s","sink,100_s","100",0,12,4
"sink","98_s","sink,84_s,98_s","84,98",0,12,1
"sink","99_s","sink,84_s,98_s,99_s","84,98,99",0,12,8
"sink","sink","sink","NA",1,12,12
